date,start,end,forecast,actual,index
2024/02/18,00:00,00:30,64,76,low
2024/02/18,00:30,01:00,72,77,low
2024/02/18,01:00,01:30,76,77,low
2024/02/18,01:30,02:00,73,80,low
2024/02/18,02:00,02:30,76,83,low
2024/02/18,02:30,03:00,82,88,low
2024/02/18,03:00,03:30,82,88,low
2024/02/18,03:30,04:00,88,96,low
2024/02/18,04:00,04:30,94,99,low
2024/02/18,04:30,05:00,98,92,low
2024/02/18,05:00,05:30,100,96,low
2024/02/18,05:30,06:00,97,96,low
2024/02/18,06:00,06:30,103,109,low
2024/02/18,06:30,07:00,102,106,low
2024/02/18,07:00,07:30,113,115,moderate
2024/02/18,07:30,08:00,110,110,moderate
2024/02/18,08:00,08:30,114,114,moderate
2024/02/18,08:30,09:00,110,116,moderate
2024/02/18,09:00,09:30,113,114,moderate
2024/02/18,09:30,10:00,116,111,moderate
2024/02/18,10:00,10:30,113,111,moderate
2024/02/18,10:30,11:00,112,109,low
2024/02/18,11:00,11:30,111,100,low
2024/02/18,11:30,12:00,107,93,low
2024/02/18,12:00,12:30,100,87,low
2024/02/18,12:30,13:00,93,81,low
2024/02/18,13:00,13:30,87,77,low
2024/02/18,13:30,14:00,88,80,low
2024/02/18,14:00,14:30,85,86,low
2024/02/18,14:30,15:00,85,95,low
2024/02/18,15:00,15:30,88,107,low
2024/02/18,15:30,16:00,107,114,moderate
2024/02/18,16:00,16:30,121,129,moderate
2024/02/18,16:30,17:00,129,143,moderate
2024/02/18,17:00,17:30,139,151,moderate
2024/02/18,17:30,18:00,148,152,moderate
2024/02/18,18:00,18:30,149,153,moderate
2024/02/18,18:30,19:00,148,154,moderate
2024/02/18,19:00,19:30,150,153,moderate
2024/02/18,19:30,20:00,152,150,moderate
2024/02/18,20:00,20:30,148,143,moderate
2024/02/18,20:30,21:00,136,123,moderate
2024/02/18,21:00,21:30,137,110,moderate
2024/02/18,21:30,22:00,125,100,low
2024/02/18,22:00,22:30,113,91,low
2024/02/18,22:30,23:00,108,93,low
2024/02/18,23:00,23:30,111,96,low
2024/02/18,23:30,00:00,83,93,low
