start,end,actual
00:00,01:00,129.82064516129032
01:00,02:00,130.01741935483872
02:00,03:00,129.79967741935485
03:00,04:00,130.81967741935483
04:00,05:00,132.50225806451613
05:00,06:00,136.21967741935484
06:00,07:00,133.00612903225806
07:00,08:00,123.22935483870968
08:00,09:00,114.78064516129032
09:00,10:00,108.83709677419354
10:00,11:00,105.87032258064517
11:00,12:00,103.86064516129034
12:00,13:00,101.16548387096775
13:00,14:00,99.76483870967742
14:00,15:00,104.03806451612903
15:00,16:00,112.36774193548388
16:00,17:00,122.74129032258064
17:00,18:00,133.66870967741934
18:00,19:00,141.10612903225805
19:00,20:00,149.08548387096772
20:00,21:00,152.40709677419355
21:00,22:00,146.89161290322582
22:00,23:00,131.84645161290322
23:00,00:00,129.66096774193548
